quarter,country_name,default_rate,loss_rate,lgd
2018-Q3,Czech,0.007454691,0.395456261,0.317207149
2018-Q3,Denmark,0.006321881,0.244030671,0.22236788
2018-Q3,Estonia,NA,NA,0.417111783
2018-Q3,Finland,0.009650172,0.183422977,0.361528804
2018-Q3,France,0.007305875,0.347858017,0.338999425
2018-Q3,Germany,0.011443044,0.321611942,0.365198275
2018-Q3,Greece,0.028325036,0.274420212,0.398641351
2018-Q3,Hungary,0.003012414,0.44945482,0.419311384
2018-Q3,Ireland,0.022205119,0.325832971,0.342019351
2018-Q3,Italy,0.053159369,0.413174338,0.40002506
2018-Q3,Latvia,NA,NA,0.422084298
2018-Q3,Lithuania,0.001843054,0.117149331,0.416998844
2018-Q3,Luxembourg,0.00699496,0.10072528,0.312658785
2018-Q3,Malta,0.123600744,0.232419844,0.260775582
2018-Q3,Netherlands,0.019446797,0.110284146,0.269713198
2018-Q3,Norway,0.016316746,0.189248665,0.263040283
2018-Q3,Poland,0.009485059,0.340323451,0.339813141
2018-Q3,Portugal,0.027613597,0.384198235,0.405464478
2018-Q3,Romania,NA,NA,0.386698829
2018-Q3,Slovakia,0.018027575,0.801802003,0.400769083
2018-Q3,Slovenia,0.007509384,0.26374472,0.402878698
2018-Q3,Spain,0.023434432,0.162256661,0.394503048
2018-Q3,Sweden,0.001912307,0.160047462,0.251610117
2018-Q3,United Kingdom,0.010665976,0.164547738,0.358180918
2018-Q3,Australia,0.005259972,NA,0.290818951
2018-Q3,Canada,0.00342599,0.269894016,0.351940803
2018-Q3,China,NA,NA,0.471193321
2018-Q3,Hong Kong,0.004099271,NA,0.364674739
2018-Q3,India,0.007970783,NA,0.44626092
2018-Q3,"Korea, Republic Of",NA,NA,0.367818258
2018-Q3,Russian Federation,NA,NA,0.408053923
2018-Q3,Singapore,0.00652454,NA,0.295246768
2018-Q3,Switzerland,0.012801552,0.067475127,0.317109392
2018-Q3,United States,0.00433472,0.29609817,0.320867643
2018-Q4,Austria,0.00951503,0.453846269,0.306877807
2018-Q4,Belgium,0.011377357,0.194994104,0.284189739
2018-Q4,Bulgaria,NA,NA,0.402279541
2018-Q4,Croatia,NA,0.172608404,0.382409344
2018-Q4,Cyprus,0.006129179,0.494390766,0.330939151
2018-Q4,Czech,0.007590207,0.403346197,0.328048555
2018-Q4,Denmark,0.006036915,0.255027881,0.209959581
2018-Q4,Estonia,0.003028257,0.245971534,0.419812403
2018-Q4,Finland,0.008199975,0.22588353,0.374941955
2018-Q4,France,0.0071307540000000004,0.368663167,0.351060379
2018-Q4,Germany,0.01010963,0.376733524,0.364370483
2018-Q4,Greece,0.022680244,NA,0.397576739
2018-Q4,Hungary,0.005776533,0.544145268,0.412736626
2018-Q4,Ireland,0.028392958,0.179550466,0.347333285
2018-Q4,Italy,0.053740267,0.446042977,0.36946292
2018-Q4,Latvia,NA,0.327246883,0.424620672
2018-Q4,Lithuania,NA,NA,0.418152317
2018-Q4,Luxembourg,0.004831284,0.03034212,0.323431921
2018-Q4,Malta,NA,NA,0.238440258
2018-Q4,Netherlands,0.017000505,0.12428581,0.266849774
2018-Q4,Norway,0.01468285,0.233912849,0.258060966
2018-Q4,Poland,0.008594214,0.337615479,0.325775415
2018-Q4,Portugal,0.027427595,0.366050261,0.41573533
2018-Q4,Romania,NA,NA,0.379123748
2018-Q4,Slovakia,0.021207988,0.800092678,0.401250169
2018-Q4,Slovenia,0.010554323,0.384619092,0.404974905
2018-Q4,Spain,0.020623714,0.135437826,0.396821781
2018-Q4,Sweden,0.001676422,0.201694181,0.237503437
2018-Q4,United Kingdom,0.008870098,0.163458158,0.363407478
2018-Q4,Australia,NA,NA,0.296538378
2018-Q4,Canada,0.003181288,0.263783,0.358255137
2018-Q4,China,0.002406344,NA,0.471119874
2018-Q4,Hong Kong,NA,NA,0.364182236
2018-Q4,India,0.00592954,NA,0.453934503
2018-Q4,"Korea, Republic Of",NA,NA,0.3712575
2018-Q4,Russian Federation,NA,NA,0.399789787
2018-Q4,Singapore,0.00680829,0.171939541,0.306609104
2018-Q4,Switzerland,0.015676957,NA,0.332213455
2018-Q4,United States,0.002902828,0.368225085,0.324491553
2019-Q1,Austria,0.007646675,NA,0.308752989
2019-Q1,Belgium,0.009785363,0.176857457,0.288369807
2019-Q1,Bulgaria,0.035402436,NA,0.407651723
2019-Q1,Croatia,0.033436222,NA,0.386359025
2019-Q1,Cyprus,0.052410392,NA,0.318448163
2019-Q1,Czech,0.011851514,0.474844426,0.316643964
2019-Q1,Denmark,0.005413475,0.257585289,0.221518063
2019-Q1,Estonia,0.002541298,NA,0.411134774
2019-Q1,Finland,0.007139423,0.237421479,0.35830488
2019-Q1,France,0.007394537,0.294274954,0.351048401
2019-Q1,Germany,0.010810238,0.432077748,0.36573184
2019-Q1,Greece,0.026154167,0.284777587,0.402142654
2019-Q1,Hungary,0.007865812,NA,0.41351066
2019-Q1,Ireland,0.023064925,0.137020819,0.355476291
2019-Q1,Italy,0.054865428,0.410272291,0.368351578
2019-Q1,Latvia,0.002860796,NA,0.424063663
2019-Q1,Lithuania,0.002530428,NA,0.416877235
2019-Q1,Luxembourg,0.003618775,0.162026182,0.330251291
2019-Q1,Malta,0.070299856,0.432863471,0.230462387
2019-Q1,Netherlands,0.017066868,0.134267519,0.267678574
2019-Q1,Norway,0.008302155,0.224658706,0.266977327
2019-Q1,Poland,0.009542676,0.365095073,0.319691136
2019-Q1,Portugal,0.024062644,0.374360476,0.414506005
2019-Q1,Romania,0.00765309,NA,0.387051524
2019-Q1,Slovakia,0.019302688,0.809874964,0.322923889
2019-Q1,Slovenia,0.011784833,NA,0.398964695
2019-Q1,Spain,0.019639865,0.144648044,0.388627187
2019-Q1,Sweden,0.001396809,0.245028699,0.252436264
2019-Q1,United Kingdom,0.009127901,0.164012341,0.362661357
2019-Q1,Australia,0.007535795,NA,0.292654985
2019-Q1,Canada,0.002182977,0.251536812,0.347635418
2019-Q1,China,0.001172452,NA,0.473575286
2019-Q1,Hong Kong,0.002880228,NA,0.364844027
2019-Q1,India,0.007590544,NA,0.44747351
2019-Q1,"Korea, Republic Of",2.72734e-4,NA,0.373786187
2019-Q1,Russian Federation,0.007800397,NA,0.388714366
2019-Q1,Singapore,0.006834663,0.327837157,0.312177691
2019-Q1,Switzerland,0.012806767,0.084456899,0.335637885
2019-Q1,United States,0.003808993,0.273215858,0.319979369
2019-Q2,Austria,0.00814583381718732,0.389218523172608,0.307949207445573
2019-Q2,Belgium,0.0117297358116239,0.195490001511793,0.267698543577177
2019-Q2,Bulgaria,0.0370699902201958,NA,0.410729618969187
2019-Q2,Croatia,0.0525223431750715,NA,0.386338384407287
2019-Q2,Cyprus,0.0237790649567341,NA,0.331138143944236
2019-Q2,Czech,0.011391966289902,0.478590617335498,0.323649065076701
2019-Q2,Denmark,0.00543343417181901,0.242438541385336,0.224416450514004
2019-Q2,Estonia,NA,NA,0.41526972927406
2019-Q2,Finland,0.00530612107503373,0.199973222654383,0.357501968587742
2019-Q2,France,0.00993716099056065,0.285250204546056,0.352744460763896
2019-Q2,Germany,0.0107695031946387,0.410067962114636,0.366978279047788
2019-Q2,Greece,0.0325733068774137,NA,0.388971899275717
2019-Q2,Hungary,0.0125692621684349,0.474956390425347,0.419154420046849
2019-Q2,Ireland,0.0441108726640199,0.462203567785772,0.343685937007915
2019-Q2,Italy,0.0438788455774839,0.454331441731741,0.384460523849468
2019-Q2,Latvia,0.0135449802640128,0.124183634092049,0.424589245885538
